Alkanet Flower,Restore Intelligence,Resist Poison,Light,Damage Fatigue
Alocasia FruitSI,Restore Fatigue,Light,Restore Health,Damage Magicka
Aloe Vera Leaves,Restore Fatigue,Restore Health,Damage Magicka,Invisibility
Ambrosia,Restore Health, , , 
Apple,Restore Fatigue,Damage Luck,Fortify Willpower,Damage Health
Arrowroot,Restore Agility,Damage Luck,Fortify Strength,Burden
Ashen RemainsSI,Fortify Fatigue,Damage Luck,Silence,Weakness to Fire
Aster Bloom CoreSI,Restore Agility,Dispel,Shield,Burden
Beef,Restore Fatigue,Shield,Fortify Agility,Dispel
Bergamot Seeds,Resist Disease,Dispel,Damage Magicka,Silence
Black TarSI,Damage Fatigue,Damage Speed,Damage Health,Shock Damage
Blackberry,Restore Fatigue,Resist Shock,Fortify Endurance,Restore Magicka
Blister Pod CapSI,Restore Magicka,Fortify Magicka,Night-Eye,Invisibility
Bloodgrass,Chameleon,Resist Paralysis,Burden,Fortify Health
Boar Meat,Restore Health,Damage Speed,Fortify Health,Burden
Bog Beacon Asco Cap,Restore Magicka,Shield,Damage Personality,Damage Endurance
Bone MarrowSI,Damage Health,Frost Damage,Damage Magicka,Paralyze
Bone ShardSI,Restore Willpower,Frost Shield,Damage Magicka,Damage Luck
Bonemeal,Damage Fatigue,Resist Fire,Fortify Luck,Night-Eye
Bread Loaf,Restore Fatigue,Detect Life,Damage Agility,Damage Strength
Cairn Bolete Cap,Restore Health,Damage Intelligence,Resist Paralysis,Shock Damage
Carrot,Restore Fatigue,Night-Eye,Fortify Intelligence,Damage Endurance
Cheese Wedge,Restore Fatigue,Resist Fire,Fire Shield,Damage Agility
Cheese Wheel,Restore Fatigue,Resist Paralysis,Damage Luck,Fortify Willpower
Cinnabar Polypore Cap Red,Restore Agility,Shield,Damage Personality,Damage Endurance
Cinnabar Polypore Cap Yellow,Restore Endurance,Fortify Endurance,Damage Personality,Reflect Spell
Clannfear Claws,Cure Disease,Resist Disease,Paralyze,Damage Health
Clouded Funnel Cap,Restore Intelligence,Fortify Intelligence,Damage Endurance,Damage Magicka
Columbine Root Pulp,Restore Personality,Resist Frost,Fortify Magicka,Chameleon
Congealed PutrescenceSI,Restore Strength,Fire Damage,Restore Magicka,Damage Health
Corn,Restore Fatigue,Restore Intelligence,Damage Agility,Shock Shield
Crab Meat,Restore Endurance,Resist Shock,Damage Fatigue,Fire Shield
Daedra Heart,Restore Health,Shock Shield,Damage Magicka,Silence
Daedra Silk,Burden,Night-Eye,Chameleon,Damage Endurance
